stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:106950,Fyllingsdalen terminal,60.349368,5.287645,,,NSR:StopPlace:62111,,700,J
NSR:Quay:106968,Lyseparken,60.215779,5.423478,,,NSR:StopPlace:62123,,700,
NSR:Quay:106969,Lyseparken,60.217049,5.425245,,,NSR:StopPlace:62123,,700,
NSR:Quay:106972,Kristianborg,60.358191,5.341517,,,NSR:StopPlace:62124,,900,B
NSR:Quay:106973,Kristianborg,60.358277,5.341564,,,NSR:StopPlace:62124,,900,A
NSR:Quay:106974,Mindemyren,60.365749,5.345020,,,NSR:StopPlace:62125,,900,
NSR:Quay:106975,Mindemyren,60.365761,5.345160,,,NSR:StopPlace:62125,,900,
NSR:Quay:106976,Kronstad,60.371295,5.348443,,,NSR:StopPlace:31374,,900,C
NSR:Quay:106977,Kronstad,60.371235,5.348623,,,NSR:StopPlace:31374,,900,D
NSR:Quay:106978,Haukeland sjukehus,60.376799,5.360730,,,NSR:StopPlace:62127,,900,B
NSR:Quay:106979,Haukeland sjukehus,60.376857,5.360559,,,NSR:StopPlace:62127,,900,A
NSR:Quay:106980,Fløen,60.381080,5.352876,,,NSR:StopPlace:62128,,900,
NSR:Quay:106981,Fløen,60.381167,5.352930,,,NSR:StopPlace:62128,,900,
NSR:Quay:106982,Bergen busstasjon,60.388148,5.335289,,,NSR:StopPlace:62129,,900,D
NSR:Quay:106983,Bergen busstasjon,60.387955,5.335311,,,NSR:StopPlace:62129,,900,C
NSR:Quay:106984,Kaigaten,60.391786,5.326747,,,NSR:StopPlace:62130,,900,B
NSR:Quay:106985,Kaigaten,60.391799,5.326822,,,NSR:StopPlace:62130,,900,
NSR:Quay:107229,Bekkjarvik kyrkje,60.002771,5.201914,,,NSR:StopPlace:62198,,700,
NSR:Quay:107230,Bekkjarvik kyrkje,60.002840,5.201924,,,NSR:StopPlace:62198,,700,
NSR:Quay:107231,Alvamyrvegen,60.000649,5.205470,,,NSR:StopPlace:62199,,700,
NSR:Quay:107232,Alvamyrvegen,60.000528,5.205347,,,NSR:StopPlace:62199,,700,
NSR:Quay:107233,Arihamrane,60.798957,4.964935,,,NSR:StopPlace:62200,,700,
NSR:Quay:107234,Straumshaugane,60.797141,4.968449,,,NSR:StopPlace:62201,,700,
NSR:Quay:107260,Sletten senter parkering,60.356359,5.360137,,,NSR:StopPlace:62214,,700,
NSR:Quay:107347,Råtun,60.285360,5.325494,,,NSR:StopPlace:62247,,700,
NSR:Quay:107348,Råtun,60.286653,5.325515,,,NSR:StopPlace:62247,,700,
NSR:Quay:107457,Rådalslien,60.291337,5.325462,,,NSR:StopPlace:62289,,700,
NSR:Quay:107527,Skipavika,60.170472,5.344130,,,NSR:StopPlace:62332,,700,
